,Name,Location,Type,Website,Specialities,Size_least,Size_Max,Founded,Status,Followers on Stack Overflow,Link
72,Ford Motor Company,Palo Alto; Detroit; Dearborn,"Automotive, Software Development / Engineering, Transportation",https://corporate.ford.com/home.html,"python, user-experience, java, frontend, agile-project-management, rally, agile, node.js, c++, shell, javascript, scrum, ruby, html, c#, linux, css, xml, .net, backend, c, sql, database, web-applications, git, programming, web-services, web-development-server, html5",10000.0,,1903.0,Public,449.0,https://stackoverflow.com/jobs/companies/ford-motor-company?c=OGsUbMAE82mbfbMY&pg=8
73,JPMorgan Chase & Co.,Hyderabad; Mumbai; Bengaluru,Financial Services,https://careers.jpmorgan.com/us/en/our-businesses/technology,"java, python, sql, devops, bigdata, mobile, cloud, microservices, machine-learning, infrastructure, software-design, javascript, c++, data-science, neural-network, nlp, natural-language-processi, processing, deep-learning, artificial-intelligence",10000.0,,1799.0,Public,733.0,https://stackoverflow.com/jobs/companies/jpmorgan-chase-co?c=NjWXyu9b3NnEguru&pg=8
74,Ockam,No office location,"Cloud Services, Security, Software Development",https://www.ockam.io/,"rust, elixir, open-source, saas, amazon-web-services, kubernetes, encryption, cryptography, typescript, terraform, hashicorp-vault, oauth-2.0",11.0,50.0,2017.0,Private,101.0,https://stackoverflow.com/jobs/companies/ockam?c=ONu3yZVa9foQBb68&pg=8
75,Picnic,Düsseldorf; Amsterdam; Paris,"E-Commerce, Information Technology, Logistics and Supply Chain",https://picnic.app/careers/,"java, python, angularjs, react-native, mongodb, spring-boot, typescript, rest, snowflake-sql, rabbitmq, java-17, spring, stripe-payments, kotlin, dagger-2, rxjs, reactjs, swift, docker, etl, kops, travis-ci, postgresql, snowplow, kubernetes, amazon-web-services, terraform, spring-mvc",5000.0,10000.0,2015.0,Private,467.0,https://stackoverflow.com/jobs/companies/picnic?c=mvUJNSg2ZCkHfGvu&pg=8
76,Catawiki,Amsterdam,eCommerce,http://www.catawiki.com,"ruby-on-rails, rails, apache, nginx, mysql, redis, reactjs, jquery, git, html5, css3, javascript, sass, haml, android, ios, xml, json, automated-tests, elasticsearch, ruby, go, continious-integration, python, rspec, tdd, testing, microservices, typescript",501.0,1000.0,2008.0,VC Funded,159.0,https://stackoverflow.com/jobs/companies/catawiki?c=gtoApgik3V46wogw&pg=8
77,Global Industrial,Port Washington; North Las Vegas; Robbinsville Township,"B2B Sales, eCommerce, Information Technology",https://www.globalindustrial.com/,"java, jakarta-ee, spring, reactjs, next.js, jquery, css, oracle, nosql, jms, activemq, amazon-web-services, powerbi, microsoft-cognitive, sql-server, maven, git, python",1000.0,5000.0,1949.0,Public,28.0,https://stackoverflow.com/jobs/companies/global-industrial?c=OQpmYaDSuq07PvtC&pg=8
78,ASML,Shenzhen; East District; Pudong Xinqu,"Hardware Development, Semiconductors, Software Development / Engineering",https://www.asml.com/en/careers/technical-fields/computer-science-jobs-software-engineering,"c#, java-ee, c++, c, python, oop, unix, linux, jboss, jenkins, maven, java, delphi, agile, scrum",10000.0,,1984.0,Public,257.0,https://stackoverflow.com/jobs/companies/asml?c=o64OkE4bEEMwDUXe&pg=8
79,mBank S.A.,Warsaw; Łódź,"Banking, Financial Services, Financial Technology",https://www.itwmbanku.pl/,"c#, swift, java, javascript, react, .net-core, net, android, angular, ferryt, powerbi, oracle, apache, apache-kafka, confluence, spark, mssql, hadoop, informatica-powercenter, ansible, splunk, jira, teamcity, testlink, jenkins, kubernetes, vmware, nsx-t, microsoft, cisco, sd-wan, f5, azure, amazon-web-services",5000.0,10000.0,1986.0,Public,69.0,https://stackoverflow.com/jobs/companies/mbank-sa?c=OO4jQqRHOGjU2Qne&pg=8
80,WirelessCar ,Göteborg,Automotive,http://www.wirelesscar.com,"amazon-web-services, azure, serverless, kubernetes, java, python, infrastructure-as-code, cloudformation, terraform, cicd, argocd, github-actions, github, datadog",501.0,1000.0,1999.0,Private,35.0,https://stackoverflow.com/jobs/companies/wirelesscar?c=OQjkfVOMSvQCfTB6&pg=9
81,atma.io ,Zagreb; Graz,"Cloud-Based Solutions, Information Technology, SaaS",https://www.atma.io/,".net, asp.net-core, c#, node.js, api, mongodb, azure, azure-devops, azure-cosmosdb, python, redis, microservices, angular, typescript, unit-testing, azure-queues, azureservicebus",51.0,200.0,2019.0,Public,99.0,https://stackoverflow.com/jobs/companies/atmaio?c=OxiN7j88ETWjfL8s&pg=9
82,TELUS Future Friendly Technology Services,Vancouver; Calgary; Toronto,"Broadcast, Smart Home, Telecommunications",https://ca.linkedin.com/company/telus-future-friendly-technology-services,"javascript, .net, node, gcp, swift, android, .netcore, aws, docker, ocp, gke, terraform, reactjs, vue.js, kubernetes-helm",10000.0,,,Public,100.0,https://stackoverflow.com/jobs/companies/telus-future-friendly-technology-services?c=OMNKzk9wRUkhzTWw&pg=9
83,Highspot,München; London; Vancouver,Information Technology,https://www.highspot.com/,"postgresql, ruby, node.js, javascript, jquery, jquery-ui, reactjs, redux, mongodb, snowflake-cloud-data-plat, clojure, amazon-web-services, kafka, kubernetes",1000.0,5000.0,2012.0,Private,79.0,https://stackoverflow.com/jobs/companies/highspot?c=OJiaSIugRiNWTUhW&pg=9
84,PwC,New York,"Consulting, Product Development, Technology Consulting",https://jobs.us.pwc.com/,"html5, css3, javascript, python, node.js, c#, .net, git, gulp, webpack, ibm-bpm, developers, appian, sql, stored, proc-sql, sail, user-experience, service, backed, records, oracle, workday, sap, salesforce, visual-c++, microsoft-graph-api, ms-access, bots, chatbot, database-design, search, security, bpm, continuous-integration, robotics, artificial-intelligence, computer, java, .netc, sharp, jdbc, db2, windows-installer, application, architecture, oriented, php, implementation, governance, androiddesignsupport, ios, soa, mapping, workflow, excel, system, development, lifecycle, methodologies, data, management, ado, google-apps-script, google-chrome, cloud, google-app-engine, google-cloud-platform, vstsvisual, visual-studio, ms, projectservicenow, jakarta-ee, struts, spring, hibernate, wsinodejs, ssis, mulesoft, apigee, layer, python-2.7, kong, platform, idam, nosql, azure-cosmosdb, jenkins, puppet, chef-infra, maven, gradle, ant, tfs, junit, nunit, moq, amazon-web-services, cicd, azure, devops, alteryx, tableau-api, mysql, tableau-desktop, powerbi, solution, architect, mean-stack, google-sheets, hangouts-chat, penetration, integration-testing, test, ui-automation, automation",10000.0,,,Private,291.0,https://stackoverflow.com/jobs/companies/pwc?c=BaOONdBVwmp4Gf1S&pg=9
85,Stadtwerke Muenchen GmbH,München,"Energy & Environment, Public Transportation, Telecommunications",https://www.swm.de/karriere/berufserfahrene/it?mtm_campaign=wp-swm-it&mtm_source=stackoverflow&mtm_medium=employer_profil&mtm_content=link&mtm_keyword=&mtm_group=,"security, iot, ai, cloud, spring, rest, soap, sql, angular, html, javascript, abap, java, python, c++, c#, kotlin, .net",10000.0,,,Public,27.0,https://stackoverflow.com/jobs/companies/stadtwerke-muenchen-gmbh?c=OPqVPMoYnmt25oGs&pg=9
86,Bupa,London; Staines-upon-Thames; Leeds,"Healthcare, Insurance",https://careers.bupa.co.uk/,"azure, c#, .net, sql, apigee",10000.0,,1947.0,Private,51.0,https://stackoverflow.com/jobs/companies/bupa?c=ONG8Ztzln3HRKoRa&pg=9
87,MOIA GmbH,Berlin; Hamburg,"Automotive, Mobility Services, ridesharing",https://www.moia.io/,"scala, kotlin, python, go, rust, swift, typescript, reactjs, akka, kubernetes, serverless, aws-lambda, android, ios, amazon-web-services, distributed-system, amazon-redshift, slick, android-jetpack, mobile, objective-c-blocks, functional-programming, flutter, vite, nrwl-nx, graphql",201.0,500.0,2016.0,Private,94.0,https://stackoverflow.com/jobs/companies/moia-gmbh?c=JMwroherQ48ime9G&pg=9
