,Unnamed: 0,Name,Location,Type,Website,Specialities,Size_least,Size_Max,Founded,Status,Followers on Stack Overflow,Link,num_Type,num_Specialities,num_Location
25,25,Pluralsight,Dublin;Bengaluru;Draper,SaaS,https://www.pluralsight.com/careers,"golang,swift,.net,node,reactjs,asp.net,terraform,java,tensorflow,sql,c++,typescript,javascript,docker,kotlin,r,kubernetes,node.js,rails,vue.js,flask,spark,express,c#,ruby,scala,jest,nginx,on,django,amazon-web-services,python,junit-jupiter",1000.0,5000.0,2004.0,VC Funded,202.0,https://stackoverflow.com/jobs/companies/pluralsight?c=OOEA7ROfu7eXuvEk&pg=3,1,33,3
26,26,Warner Bros. Discovery,San Francisco;New York;Bellevue,"Digital Video Distribution,Broadcast,Digital Media",https://wbd.com/,"swift,elasticsearch,angular,reactjs,crossplane,java,postgresql,machine-learning,neo4j,php,google-cloud-platform,ffmpeg,redux,javascript,docker,testrail,kotlin,mysql,grafana,selenium,kubernetes,opensearch,python-3.x,node.js,cdn,spring-boot,apache-kafka,c,cucumber,mongodb,json,ruby,appium,angularjs,github,amazon-web-services,python,go",10000.0,,,Public,276.0,https://stackoverflow.com/jobs/companies/warner-bros-discovery?c=MQTUVeAcRTFT6qpG&pg=3,3,38,3
27,27,"Jack Henry & Associates, Inc.®",Louisville;San Diego;Charlotte,"Banking,Financial Technology,Software Development / Engineering",https://www.jackhenry.com/,"swift,swagger,yarn,visual-studio,jwt,npm,sql-server,postgresql,prometheus,redis,tsql,typescript,objective-c,docker,javascript,web,kotlin,openid-connect,ecmascript-harmony,kubernetes,node.js,hugo,git,confluent,json,c#,ruby,scala,android-3.0-honeycomb,datadog,kafka,cosmos,oauth,go,openapi",5000.0,10000.0,1976.0,Public,169.0,https://stackoverflow.com/jobs/companies/jack-henry-and-associates-inc?c=BXgzq39UnuDb8T2o&pg=3,3,35,3
28,28,ABBYY ,Kyiv;Vilnius;Nicosia,"Automation,Artificial Intelligence,Information Technology",https://www.abbyy.com/,"nodejs,nlp,azure,.net,next.js,reactjs,mlai,react,postgresql,cicd,android,c++,typescript,redux,javascript,docker,cloud,aws,grafana,kubernetes,devops,k8s,d3.js,c#,ios,angularjs,core",501.0,1000.0,1989.0,Private,85.0,https://stackoverflow.com/jobs/companies/abbyy?c=OP8NH3VHxE0vmz2U&pg=3,3,27,3
29,29,Discover Financial Svcs,London;Farnborough,"Banking,Financial Services",https://www.discover.com/,"java,hadoop,ansible,jakarta-ee,amazon-redshift,javascript,kibana,oracle,spring,rabbitmq,kubernetes,node.js,chef-infra,powerbi,elk,spring-boot,essbase,teradata,aws-rds,cucumber,json,cloudfoundry-uaa,amazon-rds,tableau-api,nexus,gemfire,angularjs,logstash,gradle,cloud-foundry,qlikview,github",10000.0,,1986.0,Public,87.0,https://stackoverflow.com/jobs/companies/discover-financial-svcs?c=OKWV0MuOfHpBFieI&pg=3,2,32,2
30,30,Discover Financial Services,Chicago;Riverwoods,"Banking,Financial Services,Financial Technology",https://jobs.discover.com/,"java,hadoop,ansible,jakarta-ee,amazon-redshift,kibana,oracle,spring,rabbitmq,kubernetes,node.js,chef-infra,powerbi,elk,spring-boot,essbase,teradata,aws-rds,cucumber,json,cloudfoundry-uaa,amazon-rds,tableau-api,nexus,gemfire,angularjs,logstash,gradle,cloud-foundry,qlikview,github",10000.0,,1985.0,Public,111.0,https://stackoverflow.com/jobs/companies/discover-financial-services?c=OJMorUBIUPzuLXGw&pg=4,3,31,2
31,31,Zoi TechCon GmbH,Berlin;Stuttgart;Quận 1,"Cloud Computing,IT Consulting,Cloud Services",https://www.zoi.tech/,"c#,node.js,google-cloud-platform,typescript,azure,javascript,.net,aws,terraform,react,kubernetes",201.0,500.0,2017.0,Private,4.0,https://stackoverflow.com/jobs/companies/zoi-techcon-gmbh?c=OSKq5Uq3a9GlCaA0&pg=4,3,11,3
32,32,Magnolia International Ltd.,Kroměříž;Singapore;Tân Bình,"Enterprise Software,CMS,Agile Software Development",http://www.magnolia-cms.com,"angular,docker,spring,git,terraform,amazon-web-services,react,java,maven,jenkins,kubernetes",201.0,500.0,1997.0,Private,80.0,https://stackoverflow.com/jobs/companies/magnolia-international-ltd?c=Jzmx3ZZeiNqxOKs0&pg=4,3,11,3
33,33,Jumbo Supermarkets,Veghel,"Software Development,Data & Analytics,Test Automation",https://nl.jobs.jumbo.com/en/werkplek/jumbo-tech-campus/,"swift,sap,java,maven,android,docker,spring,kotlin,git-flow,kubernetes,node.js,soap,vue.js,junit,git,salesforce,ios,microservices,amazon-web-services,android-studio,microstrategy",10000.0,,1922.0,Private,130.0,https://stackoverflow.com/jobs/companies/jumbo-supermarkets?c=Ffc88f3foduyJ0w8&pg=4,3,21,1
34,34,WiseTech Global,Nan Jing Shi;Alexandria;Bengaluru,"Software Development,Enterprise Software,Logistics and Supply Chain",https://wisetechglobal.com,"c#,c++,.net,java,sql-server",1000.0,5000.0,1994.0,Public,46.0,https://stackoverflow.com/jobs/companies/wisetech-global?c=ORzTx2wXPhQeIQ1O&pg=4,3,5,3
35,35,Sartorius,Umeå;Berlin;Bangalore,"Life Sciences,Biotechnology",https://www.sartorius.com/,"angular,azure,powershell,.net,perl,xml,react,java,c++,typescript,javascript,spring,sap-commerce-cloud,devops,spring-boot,rest,apache-kafka,react-redux,c,azure-api-management,c#,wpf,scala,amazon-web-services,python",10000.0,,1870.0,Private,94.0,https://stackoverflow.com/jobs/companies/sartorius?c=ON5SI2CNHCMOiJA4&pg=4,2,25,3
36,36,Delivery Hero SE,Berlin,"Web Technology,Food & Beverage,eCommerce",http://www.deliveryhero.com/,"swift,golang,ruby-on-rails,flutter,reactjs,terraform,java,php,salesforce-lightning,android,javascript,tornado,docker,kotlin,selenium,kubernetes,node.js,cucumber,css,salesforce,ios,react-native,html,django,angularjs,amazon-web-services,python",10000.0,,2011.0,Public,521.0,https://stackoverflow.com/jobs/companies/delivery-hero-se?c=sgMY3d4ognQ71oB2&pg=4,3,27,1
37,37,Schwarz IT KG ,Berlin;Bucharest;Sofia,"Retail Industry,Retail Apps,Retail",https://it.schwarz/,"golang,swift,sap,.net,bash,dart,java,php,android,typescript,docker,javascript,abap,kotlin,kubernetes,vue.js,c#c++,ios,kafka,angularjs,python,go",1000.0,5000.0,2019.0,Private,77.0,https://stackoverflow.com/jobs/companies/schwarz-it-kg-schwarz-dienstleistung-kg?c=ONA6heKfL9ymaMYE&pg=4,3,22,3
38,38,SD Worx,Quatre Bornes;Espoo;Katowice,"Financial Services,Cloud-Based Solutions,Product Development",https://www.sdworx.com/,"elasticsearch,flutter,odata,sonarqube,azure,bootstrap-5,nuget,.net,postman,oauth-2.0,reactjs,asp.net,npm,java,sql-server,aspose,postgresql,cqrs,scss-mixins,winforms,dynatrace,jakarta-ee,knockout.js,google-cloud-platform,reporting-services,c++,outsystems,sql,docker,javascript,typescript,tsql,spring,power-automate,cobol,rabbitmq,xunit,openid-connect,selenium,azure-devops,kubernetes,ibm-cloud,powerbi,sap-successfactors,snowflake-cloud-data-plat,windows-server,jquery,domain-driven-design,.net-core,tdd,git,blueprism,visual-studio-code,xamarin,webapi,css,x++,salesforce,c#,ranorex,workflow-foundation,shuttle,signalr,model-view-controller,tableau-api,html,amazon-web-services,core",5000.0,10000.0,1945.0,VC Funded,21.0,https://stackoverflow.com/jobs/companies/sd-worx?c=OSykFqLRWlnksWOY&pg=4,3,68,3
