,Name,Location,Type,Website,Specialities,Size,Founded,Status,Followers on Stack Overflow
36,Synopsys Inc., Sunnyvale," Information Technology, Semiconductors",https://ad.doubleclick.net/ddm/clk/564350394;373335449;p?https://www.synopsys.com/careers.html?utm_source=stackoverflow.com&utm_medium=profile&utm_campaign=2023_Growth_Markets&utm_content=niche_site&utm_term=373335449&ss=paid,"c, c++, c#","
10k+ employees
",1986,"
Public
","
28
"
37,"Jack Henry & Associates, Inc.®", Elizabethtown; Charlotte; Louisville," Banking, Financial Technology, Software Development / Engineering",https://www.jackhenry.com/,"scala, go, ecmascript-harmony","
5k-10k employees
",1976,"
Public
","
167
"
38,National Security Agency, Augusta; San Antonio; Denver," Cybersecurity, Federal Agencies, Signals Analysis",http://www.IntelligenceCareers.gov/NSA,"java, c, c++","
10k+ employees
",1952,"
Public
","
436
"
39,Contentful, Berlin; Denver, Software Development,https://www.contentful.com/,"javascript, ruby, typescript","
501-1k employees
",2013,"
VC Funded
","
117
"
40,American Express., Brighton; Sunrise; London," Finance, Financial Services, Financial Technology",https://www.americanexpress.com/en-us/careers/career-areas/technology/,"java, python, hadoop","
10k+ employees
",1850,"
Private
","
354
"
41,MongoDB, Paris; London; Barcelona," Computer Software, Databases, Enterprise Software",https://www.mongodb.com/,"c++, c++17, go","
1k-5k employees
",2007,"
Public
","
423
"
42,eBay, San Jose; Kleinmachnow; Amsterdam," eCommerce, Internet Marketing",https://jobs.ebayinc.com/us/en/c/engineering-jobs,"javascript, node.js, css3","
10k+ employees
",1995,"
Public
","
284
"
43,PayPay Corporation., No office location, Financial Technology,https://about.paypay.ne.jp/career/en/,"java, spring-boot, amazon-web-services","
1k-5k employees
",2018,"
Private
","
497
"
44,Warner Bros. Discovery, Sterling; New York; Silver Spring," Broadcast, Digital Media, Digital Video Distribution",https://wbd.com/,"java, spring-boot, javascript","
10k+ employees
",N/A,"
Public
","
271
"
45,Roblox, San Mateo," Communications, Software Development, Virtual Worlds",https://corp.roblox.com/,"c#, c++, lua","
1k-5k employees
",N/A,"
Public
","
58
"
46,CGI (Canada), Mississauga; Markham; Halifax," Business Process Outsourcing, IT Consulting, System Integration",https://www.cgi.com/canada/en-ca,"azure, amazon-web-services, google-cloud-platform","
10k+ employees
",1976,"
Private
","
77
"
47,AVIV Group GmbH, Nürnberg; Paris; Hamburg," Ad Tech, Cloud-Based Solutions, Real Estate",https://www.aviv-group.com/,"amazon-web-services, sql, circleci","
1k-5k employees
",2021,"
Private
","
44
"
